,year,winner,team_one,team_two,score_one,score_two
282,2013,Louisville,Louisville,Michigan,82,76
283,2013,North Carolina A&T,North Carolina A&T,Liberty,73,72
284,2014,Wichita State,Wichita State,Cal Poly,64,37
285,2015,Kentucky,Kentucky,Hampton,79,56
286,2015,Kentucky,Kentucky,Cincinnati,64,51
287,2015,Kentucky,Kentucky,West Virginia,78,39
288,2016,Kansas,Kansas,Austin Peay,105,79
289,2016,Kansas,Kansas,Connecticut,73,61
290,2016,Kansas,Kansas,Maryland,79,63
291,2016,Villanova,Kansas,Villanova,59,64
292,2016,Villanova,Villanova,Oklahoma,95,51
293,2016,Villanova,Villanova,North Carolina,77,74
294,2016,Connecticut,Colorado,Connecticut,67,74
295,2016,Hawaii,California,Hawaii,66,77
296,2006,Ohio State,Ohio State,Davidson,70,62
297,2006,Georgetown,Ohio State,Georgetown,52,70
298,2006,Florida,Georgetown,Florida,53,57
299,2006,Georgetown,Georgetown,Northern Iowa,54,49
300,2017,Villanova,Villanova,Mount St. Mary's,75,56
301,2017,Wisconsin,Villanova,Wisconsin,62,65
302,2017,Florida,Wisconsin,Florida,83,84
303,2004,Duke,Duke,Alabama State,96,61
304,2004,Duke,Duke,Seton Hall,90,62
305,2004,Duke,Duke,Illinois,72,62
306,2004,Duke,Duke,Xavier,66,63
307,2004,Connecticut,Duke,Connecticut,78,79
308,2004,Seton Hall,Seton Hall,Arizona,80,76
309,2007,UCLA,Kansas,UCLA,55,68
310,2007,Niagara,Niagara,Florida A&M,74,66
311,2007,Kentucky,Kentucky,Villanova,67,58
312,2007,Southern Illinois,Southern Illinois,Holy Cross,61,51
313,2007,Southern Illinois,Southern Illinois,Virginia Tech,63,48
314,2007,Virginia Tech,Virginia Tech,Illinois,54,52
315,2003,Notre Dame,Notre Dame,Milwaukee,70,69
316,2003,Kansas,Kansas,Utah State,64,61
317,2003,Kansas,Kansas,Arizona State,108,76
318,2003,Kansas,Kansas,Duke,69,65
319,2003,Arizona State,Memphis,Arizona State,71,84
320,2003,Duke,Duke,Colorado State,67,57
321,2011,Kentucky,Kentucky,Princeton,59,57
322,2011,Kentucky,Kentucky,West Virginia,71,63
323,2011,West Virginia,West Virginia,Clemson,84,76
324,2011,Clemson,Clemson,UAB,70,52
325,2011,North Carolina,North Carolina,LIU Brooklyn,102,87
326,2011,North Carolina,North Carolina,Washington,86,83
327,2011,North Carolina,North Carolina,Marquette,81,63
328,2011,Washington,Washington,Georgia,68,65
329,2005,Wisconsin,Wisconsin,Northern Iowa,57,52
330,2005,Duke,Duke,Delaware State,57,46
331,2005,Duke,Duke,Mississippi State,63,55
332,2005,Michigan State,Duke,Michigan State,68,78
333,2005,Michigan State,Michigan State,Kentucky,88,2
334,2005,Mississippi State,Stanford,Mississippi State,70,93
335,2005,Vermont,Syracuse,Vermont,57,60
336,2005,Michigan State,Vermont,Michigan State,61,72
337,2005,Michigan State,Michigan State,Old Dominion,89,81
