,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
175,56.3,8.6,.493,.433,.173,.254,31,11,4,2,8,96.4,1866,23.2,64.4,1948,Merrimack,-6.53,-6.93,15.2,16.3,43.8,.517,.645,20,14,10,9
176,38.9,9.4,.488,.372,.213,.281,31,16,13,5,8,101.2,2270,26.0,68.7,2207,Miami (FL),8.66,6.63,8.4,15.1,47.2,.525,.484,15,7,9,4
177,47.1,6.8,.494,.412,.194,.267,32,19,13,6,11,102.5,2275,25.9,69.2,2269,Miami (OH),-0.57,-4.17,7.4,14.4,48.8,.524,.406,13,5,10,2
178,65.0,13.4,.526,.375,.231,.308,31,9,6,3,4,109.4,2007,32.8,69.4,2353,Michigan State,10.76,21.92,7.4,15.6,55.1,.560,.710,22,14,12,7
179,52.7,10.3,.528,.391,.192,.267,31,12,10,5,7,107.0,2116,25.0,69.3,2326,Michigan,11.17,17.94,7.8,13.6,50.6,.554,.613,19,10,11,4
180,52.3,7.9,.488,.412,.209,.311,31,23,14,10,10,98.5,2332,28.1,71.2,2193,Middle Tennessee,0.84,-8.41,9.5,17.0,49.0,.516,.258,8,4,5,3
181,49.1,8.5,.476,.395,.209,.295,31,19,11,8,9,99.2,2252,29.5,70.6,2216,Milwaukee,-3.91,-7.22,8.1,16.1,49.1,.509,.387,12,7,7,4
182,58.8,11.3,.494,.407,.190,.275,31,16,12,5,10,104.9,2055,31.3,67.3,2205,Minnesota,11.55,16.39,7.0,14.2,52.1,.521,.484,15,8,11,2
183,51.7,14.0,.515,.280,.298,.395,31,11,7,2,7,109.0,2112,37.0,67.3,2275,Mississippi State,6.96,12.21,8.3,17.5,55.1,.559,.645,20,11,14,4
184,41.7,6.6,.430,.412,.149,.229,30,27,15,8,19,86.1,2690,23.4,78.9,2048,Mississippi Valley State,-7.68,-29.08,9.2,16.1,42.2,.454,.100,3,3,1,2
185,53.7,8.0,.486,.337,.269,.368,32,17,12,5,10,99.5,2193,26.2,68.8,2208,Mississippi,6.90,7.37,10.3,16.7,49.2,.528,.469,15,6,12,1
186,51.4,9.4,.521,.354,.201,.293,30,14,7,4,8,102.5,1976,26.0,66.7,2094,Missouri-Kansas City,-3.62,-6.07,11.9,16.9,48.2,.546,.533,16,8,9,5
187,46.4,7.7,.498,.338,.215,.288,33,17,9,4,10,102.6,2238,31.9,68.6,2330,Missouri State,0.71,3.50,9.3,17.0,54.6,.533,.485,16,9,11,3
188,50.3,10.0,.470,.404,.279,.357,31,16,11,4,10,99.3,2020,31.4,67.1,2081,Missouri,6.54,8.51,10.0,18.0,51.5,.521,.484,15,7,12,2
189,52.8,8.5,.471,.369,.256,.356,31,13,8,2,10,98.5,2188,25.5,72.1,2209,Monmouth,-5.19,-4.51,11.1,15.6,47.1,.513,.581,18,12,11,6
190,48.7,6.8,.498,.328,.277,.374,31,15,10,5,10,97.8,2076,22.9,68.2,2066,Montana State,-2.29,-5.01,8.0,18.5,50.9,.541,.516,16,10,9,5
191,46.0,9.0,.522,.273,.191,.264,31,13,6,3,10,100.8,2122,19.6,69.4,2195,Montana,-1.52,0.59,9.0,15.6,48.0,.549,.581,18,14,12,6
192,52.1,11.8,.483,.336,.196,.307,32,19,11,4,14,98.7,2240,29.0,69.1,2208,Morehead State,-6.42,-10.96,8.5,15.5,50.4,.507,.406,13,7,11,2
193,47.7,12.6,.468,.312,.272,.392,31,16,7,6,7,97.4,2197,35.1,71.4,2182,Morgan State,-9.18,-12.82,7.8,19.2,53.0,.509,.484,15,9,8,7
