,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
217,218.0,181,Gardner Webb,BSth,16-16,-4.48,102.2,106.7,66.2,-0.047,-5.61,101.1,106.7,6.08
218,219.0,170,Nebraska Omaha,Sum,16-16,-4.5,103.2,107.7,69.2,0.077,-0.24,104.0,104.3,4.54
219,220.0,248,Illinois St.,MVC,10-21,-4.55,98.4,102.9,68.5,-0.005,1.91,103.6,101.7,0.47
220,221.0,194,Iona,MAAC,12-17,-4.56,101.6,106.1,68.7,-0.077,-5.1,98.4,103.5,0.72
221,222.0,270,Montana St.,BSky,16-15,-4.6,97.0,101.6,67.3,0.056,-1.39,102.4,103.8,0.73
222,223.0,109,Green Bay,Horz,17-16,-4.64,105.8,110.5,74.0,0.045,-2.95,100.9,103.8,5.0
223,224.0,278,Brown,Ivy,15-12,-4.69,96.4,101.1,69.4,0.12,-1.19,101.6,102.8,-2.12
224,225.0,140,UC Davis,BW,14-18,-4.77,104.7,109.4,68.0,-0.024,-2.55,100.7,103.2,0.63
225,226.0,196,Louisiana,SB,14-19,-4.89,101.3,106.2,71.8,0.02,-0.38,102.6,103.0,-1.69
226,227.0,325,Merrimack,NEC,20-11,-4.89,93.9,98.8,63.2,0.137,-5.75,99.7,105.4,0.4
227,228.0,211,Lafayette,Pat,19-12,-4.91,100.6,105.5,66.9,0.101,-5.07,101.0,106.1,-2.99
