,year,school_name,g,wins,losses,win_loss_pct,srs,sos,wins_conf,losses_conf,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate
14,2020,Arizona,32,21,11,.656,19.49,8.40,10,8,13,4,4,6,2445,2090,70.3,92.2,.352,.377,.498,47.5,51.3,6.8,8.0,.453,18.1,25.9,.258
15,2020,Little Rock,31,21,10,.677,2.27,-1.07,15,5,13,2,8,8,2270,2152,70.2,98.9,.336,.388,.524,47.8,50.3,9.7,8.9,.491,17.3,28.2,.234
16,2020,Arkansas-Pine Bluff,30,4,26,.133,-21.65,-6.41,3,15,2,8,2,18,1615,2049,67.6,100.6,.472,.373,.531,51.1,56.8,14.2,7.2,.490,18.0,30.2,.320
17,2020,Arkansas State,32,16,16,.500,-2.92,-0.72,8,12,10,7,6,9,2262,2301,68.5,104.2,.415,.351,.557,50.7,55.5,8.7,5.7,.517,17.9,28.9,.301
18,2020,Arkansas,32,20,12,.625,13.46,7.27,7,11,14,4,4,8,2426,2228,71.4,96.0,.409,.333,.516,54.9,41.9,6.9,8.7,.473,19.2,31.3,.287
19,2020,Army,30,15,15,.500,-9.10,-6.68,10,8,9,6,6,9,2128,2161,69.7,102.5,.239,.416,.533,51.4,51.3,9.0,9.2,.513,14.9,25.0,.160
20,2020,Auburn,31,25,6,.806,15.04,7.39,12,6,16,1,5,5,2419,2182,70.4,97.6,.339,.363,.511,46.3,45.6,9.3,9.3,.471,16.4,27.4,.243
21,2020,Austin Peay,33,21,12,.636,-0.98,-4.14,14,4,14,0,5,10,2519,2359,69.9,101.9,.323,.340,.556,47.9,52.0,8.7,6.2,.529,18.8,27.5,.223
22,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2020,Ball State,31,18,13,.581,4.12,-1.65,11,7,11,4,5,7,2155,1938,69.3,90.2,.281,.336,.484,49.0,43.1,9.1,9.0,.452,17.4,24.6,.193
25,2020,Baylor,30,26,4,.867,20.13,9.13,15,3,14,1,8,2,2134,1804,66.6,89.9,.308,.350,.486,47.5,52.7,8.7,13.0,.452,19.7,29.9,.211
26,2020,Belmont,33,26,7,.788,4.30,-6.23,15,3,13,1,11,5,2627,2241,72.8,93.3,.243,.346,.494,49.5,47.0,8.0,8.3,.473,17.3,26.3,.156
27,2020,Bethune-Cookman,30,16,14,.533,-10.16,-8.98,10,6,10,1,4,13,2239,2167,75.0,95.2,.387,.346,.505,49.5,50.2,9.4,7.2,.471,18.0,29.7,.254
28,2020,Binghamton,29,10,19,.345,-15.03,-4.62,4,12,7,7,3,12,2014,2221,69.4,109.8,.290,.382,.539,52.9,51.0,9.1,9.1,.519,12.2,31.0,.190
29,2020,Boise State,32,20,12,.625,8.59,4.39,11,7,13,2,4,8,2430,2223,70.0,97.4,.294,.390,.536,48.5,44.8,8.4,6.9,.506,17.6,22.1,.211
30,2020,Boston College,32,13,19,.406,1.82,7.86,7,13,8,10,4,8,2067,2260,69.6,101.1,.299,.372,.536,53.6,52.4,9.7,9.3,.505,18.0,30.7,.214
31,2020,Boston University,34,21,13,.618,-1.87,-5.30,12,6,12,3,9,8,2410,2269,66.8,98.9,.263,.354,.518,47.9,45.4,9.5,7.0,.495,15.3,24.6,.177
32,2020,Bowling Green State,31,21,10,.677,0.47,0.20,12,6,13,2,5,5,2310,2259,71.6,100.9,.327,.383,.515,48.9,39.9,7.9,7.7,.483,14.3,26.1,.224
33,2020,Bradley,34,23,11,.676,5.33,0.33,11,7,15,2,4,8,2438,2240,67.3,97.1,.305,.433,.504,46.5,52.3,8.5,7.3,.463,15.7,25.4,.229
34,2020,Brigham Young,32,24,8,.750,16.93,6.45,13,3,14,1,6,5,2548,2188,69.7,96.9,.276,.335,.518,50.4,46.4,8.9,6.9,.490,16.3,23.8,.191
35,2020,Brown,27,15,12,.556,-4.45,-1.72,8,6,10,4,5,8,1809,1854,70.2,97.8,.289,.364,.522,47.9,48.1,11.1,11.3,.490,17.5,26.4,.208
36,2020,Bryant,32,15,17,.469,-6.70,-6.67,7,11,9,5,6,12,2271,2223,70.7,97.9,.302,.364,.501,48.0,50.3,9.3,10.0,.470,14.8,27.9,.205
37,2020,Bucknell,34,14,20,.412,-7.73,-4.32,8,10,9,4,4,14,2299,2415,69.9,101.6,.383,.332,.548,52.1,49.4,9.8,9.5,.515,17.6,26.4,.265
38,2020,Buffalo,32,20,12,.625,1.80,0.06,11,7,10,7,7,4,2516,2425,74.7,100.7,.301,.343,.524,47.5,46.9,8.9,9.1,.489,16.7,28.8,.220
39,2020,Butler,31,22,9,.710,15.56,9.14,10,8,14,3,5,6,2125,1926,64.6,95.8,.309,.379,.496,46.7,52.2,8.7,9.0,.458,15.6,25.4,.222
40,2020,Cal Poly,30,7,23,.233,-10.00,-0.42,4,12,7,6,0,15,2027,2248,68.8,105.8,.426,.359,.561,53.1,54.6,9.2,8.5,.520,16.7,28.3,.308
41,2020,Cal State Bakersfield,31,12,19,.387,-7.11,-3.26,6,10,9,7,3,12,2109,2097,66.0,100.5,.474,.409,.547,45.3,52.6,7.6,6.7,.500,17.8,25.0,.341
